"Payment by card on the site","Оплата карткою на сайті"
"The authorized amount is %1.","Дозволена сума %1."
"An error has occurred during payment. Merchant data is incorrect.","Сталася помилка при оплаті. Дані продавця невірні."
"An error has occurred during payment. Order is declined.","Сталася помилка при оплаті. Замовлення відхилено."
"An error has occurred during payment. Signature is not valid.","Сталася помилка при оплаті. Підпис недійсний."
ConcordPay,ConcordPay
Enabled,Увімкнений
"Plugin state","Стан плагіна"
Title,Назва
"Text displayed at checkout","Текст, що відображається під час оформлення замовлення"
Merchant,Ідентифікатор продавця
"Given to Merchant by ConcordPay","Надається продавцу системой ConcordPay"
"Secret key","Секретний ключ"
"New order status","Статус нового замовлення"
"Order status after creation","Статус замовлення після створення"
"Status after payment","Статус після оплати"
"Order status after successful payment","Статус замовлення після успішної оплати"
"Status after payment refund","Статус після повернення оплати"
"Order status after payment refund","Статус замовлення після повернення коштів покупцеві"
"Allowed Shipping Methods","Дозволені способи доставки"
"Sort Order","Порядок сортування"
"Defines the sort order of the section of payment methods","Визначає порядок сортування розділу способів оплати"
